,age,job,marital,education,default,balance,housing,loan,day,month,campaign,pdays,previous,target
179,50,4,1,1,0,2087,1,0,14,8,1,-1,0,0
180,61,3,1,1,0,4248,1,0,14,8,1,-1,0,0
181,30,7,2,1,0,160,1,0,14,8,1,-1,0,0
182,60,4,1,1,0,751,1,0,14,8,3,-1,0,0
183,57,10,1,1,0,629,1,0,14,8,2,-1,0,0
184,44,8,0,1,0,2416,1,0,14,8,3,-1,0,0
185,27,2,2,1,0,900,1,0,14,8,1,-1,0,0
186,45,4,1,0,0,1794,1,0,14,8,2,-1,0,0
187,43,4,1,1,0,15740,1,0,14,8,2,-1,0,0
188,44,4,1,0,0,-295,1,0,14,8,4,-1,0,0
189,49,4,1,0,0,0,0,0,14,8,2,-1,0,0
190,41,4,0,1,0,5291,1,0,14,8,3,-1,0,0
191,47,7,1,1,0,651,1,0,14,8,3,-1,0,0
192,24,4,1,0,0,-219,1,1,15,8,5,-1,0,0
193,42,2,1,1,0,2918,1,0,15,8,2,-1,0,0
194,53,5,1,2,0,420,1,0,15,8,1,-1,0,0
195,43,9,2,3,0,3173,0,0,15,8,1,-1,0,0
196,42,4,1,1,0,9359,1,0,15,8,1,-1,0,0
197,44,5,1,0,0,276,1,1,15,8,1,-1,0,0
198,46,8,1,1,0,523,0,0,15,8,3,-1,0,0
199,54,4,1,0,0,950,1,0,15,8,2,-1,0,0
200,57,4,1,1,0,2192,0,0,15,8,2,-1,0,0
201,56,3,1,1,0,1678,1,0,15,8,1,-1,0,0
202,42,10,1,1,0,1865,1,0,15,8,1,-1,0,0
203,60,3,1,1,0,-208,1,0,15,8,1,-1,0,0
204,60,4,1,0,0,5788,1,0,15,8,2,-1,0,0
205,40,8,1,0,0,-9,1,0,15,8,2,-1,0,0
206,43,10,2,1,0,293,1,0,15,8,1,-1,0,0
207,41,10,1,1,0,288,1,0,15,8,4,-1,0,0
208,42,7,1,2,0,1323,1,1,15,8,5,-1,0,0
209,33,10,0,2,0,0,1,0,15,8,1,-1,0,0
210,47,2,0,0,0,357,1,1,15,8,1,-1,0,0
211,23,6,2,1,0,1139,1,0,15,8,3,-1,0,0
212,59,7,1,2,0,2319,1,0,15,8,32,-1,0,0
213,56,0,0,1,0,0,0,0,15,8,1,-1,0,0
214,44,4,1,0,0,0,1,0,15,8,6,-1,0,0
215,42,2,1,1,0,679,1,0,15,8,2,-1,0,0
216,57,2,0,0,0,1,0,0,15,8,10,-1,0,0
217,21,8,2,1,0,496,1,0,15,8,2,-1,0,0
218,48,5,1,0,0,3705,1,0,15,8,2,-1,0,0
219,57,7,1,2,0,388,0,1,15,8,4,-1,0,0
220,45,10,1,1,0,89,1,0,15,8,2,-1,0,0
221,50,4,1,1,0,6258,1,0,15,8,7,-1,0,0
222,51,4,1,1,0,22,1,0,16,8,2,-1,0,0
223,40,2,1,1,0,2,1,0,16,8,1,-1,0,0
224,30,7,1,1,0,1423,1,0,16,8,3,-1,0,0
225,23,2,1,1,0,16,1,0,16,8,1,-1,0,0
226,28,8,2,1,0,484,1,0,16,8,2,-1,0,0
227,27,8,2,1,0,-142,1,0,16,8,1,-1,0,0
228,40,2,2,1,0,739,1,0,16,8,1,-1,0,0
229,47,4,0,1,0,380,1,0,16,8,6,-1,0,0
230,45,4,1,1,0,-1400,1,0,16,8,4,-1,0,0
231,24,4,2,1,0,65,0,0,16,8,3,-1,0,0
232,40,4,1,0,0,1758,1,0,16,8,3,-1,0,0
233,54,10,0,1,0,0,1,0,16,8,1,-1,0,0
234,25,7,2,2,0,-98,1,1,16,8,2,-1,0,0
235,53,10,1,1,0,31,1,0,16,8,2,-1,0,0
236,46,7,0,2,0,770,1,0,16,8,1,-1,0,0
237,60,7,1,2,0,36,1,0,16,8,3,-1,0,0
238,22,2,2,1,0,770,1,0,16,8,1,-1,0,0
239,49,10,0,2,0,874,1,0,16,8,2,-1,0,0
240,44,2,1,1,0,2687,1,0,16,8,4,-1,0,0
241,44,10,2,1,0,696,1,0,16,8,3,-1,0,0
242,44,4,1,0,0,195,1,0,16,8,5,-1,0,0
243,33,8,2,1,0,568,1,0,16,8,2,-1,0,0
244,29,8,1,1,0,246,1,0,16,8,2,-1,0,0
245,57,3,1,0,0,70,1,1,16,8,5,-1,0,0
246,47,4,1,3,0,584,1,0,19,8,19,-1,0,0
247,54,8,1,1,0,2431,1,0,19,8,4,-1,0,0
248,42,7,0,2,0,0,0,0,19,8,2,-1,0,0
249,50,8,0,1,0,761,1,0,19,8,1,-1,0,0
250,42,7,0,1,0,830,1,0,19,8,1,-1,0,0
251,33,4,2,1,0,5,0,0,19,8,3,-1,0,0
252,33,10,2,1,0,-206,1,0,19,8,4,-1,0,0
253,30,4,1,0,0,1076,1,0,19,8,1,-1,0,0
254,24,4,2,1,0,-5,0,0,19,8,1,-1,0,0
255,36,5,1,1,0,680,1,0,19,8,2,-1,0,0
256,49,7,2,2,0,354,1,0,19,8,3,-1,0,0
257,52,9,1,1,0,6353,1,1,19,8,2,-1,0,0
258,48,4,1,0,0,6489,1,0,19,8,1,-1,0,0
259,33,10,1,3,0,208,1,0,19,8,1,-1,0,0
260,44,7,1,2,0,4087,1,0,19,8,5,-1,0,0
261,21,6,2,1,0,405,1,0,19,8,3,-1,0,0
262,25,4,2,1,0,5,1,0,19,8,3,-1,0,0
263,60,3,1,1,0,819,1,0,19,8,2,-1,0,0
264,40,4,1,0,0,-22,1,0,19,8,3,-1,0,0
265,25,2,2,1,0,3776,1,0,19,8,2,-1,0,0
266,48,10,2,1,0,479,0,0,20,8,5,-1,0,0
267,57,7,1,2,0,0,1,1,20,8,2,-1,0,0
268,33,4,0,1,0,0,1,0,20,8,1,-1,0,0
269,36,9,1,1,0,736,1,0,20,8,1,-1,0,0
270,34,8,1,1,0,380,1,0,20,8,1,-1,0,0
271,32,10,0,1,0,3997,1,0,20,8,1,-1,0,0
272,37,5,1,2,0,2644,1,0,20,8,1,-1,0,0
273,31,10,2,1,0,1769,1,0,20,8,1,-1,0,0
274,33,5,1,1,0,1163,1,0,20,8,1,-1,0,0
275,52,4,0,0,0,0,1,1,20,8,1,-1,0,0
276,24,6,2,1,0,268,1,0,20,8,2,-1,0,0
277,31,8,1,3,0,89,1,0,20,8,1,-1,0,0
278,53,0,1,1,0,736,1,0,20,8,1,-1,0,0
279,29,4,2,1,0,5607,0,0,20,8,1,-1,0,0
280,29,8,1,2,0,585,1,1,20,8,2,-1,0,0
281,32,8,1,1,0,-508,1,0,20,8,2,-1,0,0
282,31,7,2,1,0,0,0,0,20,8,2,-1,0,0
283,32,4,1,1,0,2700,1,0,20,8,2,-1,0,0
284,33,10,1,1,0,1387,1,0,20,8,1,-1,0,0
285,40,9,1,1,0,311,1,0,20,8,2,-1,0,0
286,43,3,1,1,0,520,1,0,20,8,13,-1,0,0
287,30,4,1,0,0,7406,1,0,20,8,2,-1,0,0
288,32,2,1,1,0,50,1,0,20,8,2,-1,0,0
289,58,5,1,1,0,2429,0,1,20,8,7,-1,0,0
290,60,4,1,0,0,674,1,0,20,8,4,-1,0,0
291,33,4,1,0,0,2730,1,0,21,8,1,-1,0,0
292,31,1,1,1,0,438,1,1,21,8,1,-1,0,0
293,32,8,2,1,0,1701,1,0,21,8,1,-1,0,0
294,34,6,2,2,0,687,1,0,21,8,3,-1,0,0
295,32,8,1,1,0,12,0,0,21,8,1,-1,0,0
296,33,7,2,2,0,-289,1,0,21,8,1,-1,0,0
297,34,2,2,1,0,98,1,0,21,8,1,-1,0,0
298,32,10,1,1,0,883,1,0,21,8,1,-1,0,0
299,32,2,1,1,0,1671,0,0,21,8,1,-1,0,0
300,35,8,1,1,1,-954,1,0,21,8,3,-1,0,0
301,31,2,1,1,0,2228,1,0,21,8,1,-1,0,0
302,35,4,1,0,0,204,1,0,21,8,4,-1,0,0
303,30,4,2,1,0,15341,0,0,21,8,3,-1,0,0
304,35,7,1,2,0,547,1,1,21,8,1,-1,0,0
305,34,7,2,2,0,247,0,0,21,8,5,-1,0,0
306,29,8,2,1,0,481,1,0,21,8,2,-1,0,0
307,32,3,1,0,0,4499,0,0,21,8,1,-1,0,0
308,32,7,2,2,0,1717,1,0,21,8,2,-1,0,0
309,35,4,2,3,0,-114,1,0,21,8,2,-1,0,0
310,52,2,1,1,0,1933,1,0,21,8,4,-1,0,0
311,33,8,1,1,0,1317,1,0,21,8,4,-1,0,0
312,29,4,1,1,0,1599,1,0,21,8,1,-1,0,0
313,30,4,1,1,0,920,1,0,21,8,2,-1,0,0
314,31,2,2,1,0,1779,1,0,21,8,2,-1,0,0
315,29,2,2,2,0,-194,0,0,21,8,2,-1,0,0
316,46,4,1,1,0,2173,1,0,21,8,5,-1,0,0
317,31,4,1,0,0,1165,1,0,21,8,2,-1,0,0
318,31,10,2,1,0,486,1,0,23,8,2,-1,0,0
319,28,4,2,1,0,435,1,1,23,8,1,-1,0,0
320,32,10,1,1,0,1464,1,0,23,8,1,-1,0,0
321,29,8,2,1,0,-32,1,0,23,8,1,-1,0,0
322,35,2,1,1,0,525,1,0,23,8,1,-1,0,0
323,28,7,2,2,0,1243,1,0,23,8,1,-1,0,0
324,33,10,1,1,0,700,1,0,23,8,2,-1,0,0
325,31,9,1,2,0,-355,1,0,23,8,2,-1,0,0
326,30,7,2,2,0,151,0,0,23,8,2,-1,0,0
327,26,4,2,1,0,38,1,0,23,8,1,-1,0,0
328,43,1,1,0,0,240,1,0,23,8,2,-1,0,0
329,33,2,0,1,0,579,1,0,23,8,3,-1,0,0
330,41,10,2,1,0,30,0,0,23,8,1,-1,0,0
331,30,2,2,1,0,127,1,0,23,8,2,-1,0,0
332,30,7,1,2,0,1522,1,0,23,8,3,-1,0,0
333,37,5,0,1,0,1202,1,0,23,8,2,-1,0,0
334,29,5,2,2,0,150,1,0,23,8,2,-1,0,0
335,32,4,2,1,1,-369,1,0,23,8,2,-1,0,0
336,54,4,1,0,0,-239,1,0,23,8,1,-1,0,0
337,58,3,1,0,0,0,1,0,23,8,6,-1,0,0
338,34,8,1,1,0,1694,1,1,23,8,6,-1,0,0
339,44,4,2,0,0,97,1,0,23,8,14,-1,0,0
340,31,4,1,0,0,2665,1,0,23,8,2,-1,0,0
341,29,4,1,1,0,631,1,0,23,8,4,-1,0,0
342,34,4,1,1,0,141,1,0,23,8,3,-1,0,0
343,30,4,1,1,0,523,1,0,23,8,5,-1,0,0
344,36,2,1,1,0,0,1,0,23,8,2,-1,0,0
345,56,4,0,0,0,-216,1,0,26,8,1,-1,0,0
346,40,4,0,1,0,-426,0,1,26,8,1,-1,0,0
347,58,3,1,1,0,295,1,1,26,8,2,-1,0,0
348,46,4,1,1,0,1728,1,0,26,8,2,-1,0,0
349,46,10,1,0,0,-171,1,0,26,8,1,-1,0,0
350,43,10,1,1,0,-1701,1,0,26,8,1,-1,0,0
351,47,10,2,3,0,-213,1,0,26,8,1,-1,0,0
352,30,4,1,1,0,358,0,0,26,8,1,-1,0,0
353,30,10,0,1,0,18,0,0,26,8,1,-1,0,0
354,24,4,1,1,0,245,1,0,26,8,11,-1,0,0
355,31,10,2,1,0,1746,1,0,26,8,2,-1,0,0
356,48,4,1,1,0,0,1,0,26,8,1,-1,0,0
357,47,10,0,1,0,1573,1,0,26,8,1,-1,0,0
358,25,1,2,2,0,-446,1,0,26,8,1,-1,0,0
359,30,4,1,0,0,494,1,0,26,8,2,-1,0,0
360,54,7,0,1,0,-415,1,0,26,8,2,-1,0,0
361,36,5,0,2,0,504,1,0,26,8,3,-1,0,0
362,43,4,1,0,0,-476,1,0,26,8,1,-1,0,0
363,46,4,1,1,0,494,1,0,26,8,1,-1,0,0
364,28,10,2,2,0,975,1,0,26,8,1,-1,0,0
365,34,10,1,1,0,4587,0,0,26,8,4,-1,0,0
366,44,4,1,0,0,3057,1,0,26,8,4,-1,0,0
367,49,10,1,1,0,-215,1,0,26,8,2,-1,0,0
368,43,8,1,0,0,448,1,0,26,8,6,-1,0,0
369,29,4,2,1,0,3201,1,0,26,8,5,-1,0,0
370,37,4,1,0,0,2805,1,0,26,8,23,-1,0,0
371,30,10,2,1,0,6471,1,1,26,8,4,-1,0,0
372,50,10,1,1,0,-157,1,0,27,8,3,-1,0,0
373,27,4,1,1,0,2776,1,0,27,8,1,-1,0,0
374,31,10,0,1,0,-119,1,0,27,8,1,-1,0,0
375,31,10,2,1,0,810,1,0,27,8,1,-1,0,0
376,28,5,2,0,0,0,1,1,27,8,1,-1,0,0
377,23,4,2,1,0,-187,1,1,27,8,4,-1,0,0
378,26,5,2,2,0,219,1,0,27,8,1,-1,0,0
379,27,2,2,2,0,2904,1,0,27,8,1,-1,0,0
380,29,4,1,1,0,203,1,0,27,8,2,-1,0,0
381,49,2,0,1,0,333,1,0,27,8,3,-1,0,0
382,34,8,2,1,1,-455,0,0,27,8,1,-1,0,0
383,53,9,1,0,0,6,1,0,27,8,2,-1,0,0
384,37,7,0,2,0,-999,1,0,27,8,1,-1,0,0
385,30,7,1,2,0,124,0,0,27,8,1,-1,0,0
386,56,3,0,0,0,-154,1,0,27,8,1,-1,0,0
387,35,4,0,1,0,-333,1,0,27,8,1,-1,0,0
388,33,4,1,0,0,1383,1,0,27,8,2,-1,0,0
389,51,7,1,2,0,1944,1,0,27,8,2,-1,0,0
390,33,8,1,1,0,843,1,0,27,8,2,-1,0,0
391,29,2,2,1,0,-133,1,0,27,8,2,-1,0,0
392,25,2,1,1,0,132,1,0,27,8,1,-1,0,0
393,45,1,1,0,0,180,1,1,27,8,2,-1,0,0
394,30,8,1,1,1,-684,1,0,27,8,3,-1,0,0
395,23,5,2,2,1,6,1,1,27,8,4,-1,0,0
396,28,9,2,2,0,2593,0,0,27,8,7,-1,0,0
397,31,10,2,2,0,231,1,0,27,8,2,-1,0,0
398,46,7,0,2,0,-154,1,1,27,8,2,-1,0,0
399,56,2,1,1,0,292,1,0,28,8,9,-1,0,0
400,53,4,0,3,0,-473,1,0,28,8,2,-1,0,0
401,28,9,2,1,0,311,1,1,28,8,3,-1,0,0
402,35,2,1,1,0,18,1,1,28,8,4,-1,0,0
403,27,7,1,2,0,2451,1,0,28,8,1,-1,0,0
404,30,10,1,2,0,-196,1,0,28,8,1,-1,0,0
405,31,2,0,1,0,-403,1,0,28,8,1,-1,0,0
406,30,8,2,1,0,284,1,0,28,8,2,-1,0,0
407,42,2,1,1,0,214,1,0,28,8,24,-1,0,0
408,29,4,2,0,0,-443,1,0,28,8,1,-1,0,0
409,30,2,2,1,0,-648,1,0,28,8,2,-1,0,0
410,47,4,1,1,0,480,1,0,28,8,2,-1,0,0
411,57,7,1,0,0,1566,0,0,28,8,4,-1,0,0
412,23,2,1,1,0,894,1,0,28,8,1,-1,0,0
413,25,10,1,1,0,1577,1,1,28,8,2,-1,0,0
414,36,10,1,1,0,61,1,0,28,8,1,-1,0,0
415,29,2,2,1,0,-449,1,0,28,8,2,-1,0,0
416,25,8,2,1,0,9636,1,0,28,8,2,-1,0,0
417,57,4,1,0,0,1502,1,0,28,8,2,-1,0,0
418,23,5,2,0,0,-65,1,0,28,8,2,-1,0,0
419,32,8,1,1,0,24,1,0,28,8,1,-1,0,0
420,48,4,1,0,0,134,1,0,28,8,2,-1,0,0
421,31,7,2,2,0,-61,0,0,28,8,2,-1,0,0
422,33,2,2,1,0,3,1,0,28,8,5,-1,0,0
423,31,4,1,1,0,625,1,0,28,8,1,-1,0,0
424,28,8,1,1,0,179,1,0,28,8,1,-1,0,0
425,49,4,1,1,0,457,1,1,28,8,2,-1,0,0
426,30,9,1,1,0,-33,1,0,28,8,3,-1,0,0
427,23,4,2,1,0,579,1,0,28,8,4,-1,0,0
428,45,8,2,1,0,1377,1,0,28,8,5,-1,0,0
429,23,4,1,1,0,758,1,0,28,8,3,-1,0,0
430,42,4,2,0,0,181,1,0,29,8,2,-1,0,0
431,43,4,1,1,0,-111,1,0,29,8,3,-1,0,0
432,42,4,1,1,0,130,1,0,29,8,1,-1,0,0
433,54,2,1,2,0,-690,1,1,29,8,4,-1,0,0
434,58,3,1,1,0,32948,0,0,29,8,2,-1,0,0
435,46,4,1,1,0,176,0,0,29,8,1,-1,0,0
436,55,7,1,2,0,505,1,1,29,8,2,-1,0,0
437,33,4,1,0,1,-1489,1,1,29,8,1,-1,0,0
438,28,8,1,1,0,699,1,0,29,8,1,-1,0,0
439,31,10,1,1,0,2099,1,1,29,8,3,-1,0,0
440,30,8,1,1,0,250,1,0,29,8,1,-1,0,0
441,33,4,1,1,0,628,1,0,29,8,2,-1,0,0
442,45,2,1,0,0,895,1,0,29,8,2,-1,0,0
