,age,job,marital,education,default,balance,housing,loan,contact,day,month,campaign,pdays,previous,target
129,31,10,0,1,0,140,1,0,2,5,8,1,-1,0,0
130,37,4,1,0,0,279,1,0,2,5,8,1,-1,0,0
131,59,5,0,1,0,901,1,0,2,5,8,3,-1,0,0
132,28,10,2,1,0,2573,1,0,2,5,8,2,-1,0,0
133,34,8,1,1,0,143,1,1,2,5,8,1,-1,0,0
134,53,4,1,1,0,70,1,0,2,5,8,2,-1,0,0
135,35,10,1,1,0,275,1,0,2,5,8,1,-1,0,0
136,42,7,0,2,0,742,1,0,2,5,8,3,-1,0,0
137,41,5,1,0,0,236,1,0,2,5,8,1,-1,0,0
138,35,7,2,2,0,600,1,0,2,5,8,1,-1,0,0
139,41,4,1,0,0,183,1,1,2,5,8,2,-1,0,0
140,40,4,1,0,0,0,1,0,2,5,8,1,-1,0,0
141,40,4,0,0,0,0,1,0,2,5,8,1,-1,0,0
142,57,10,1,1,0,1078,1,0,2,5,8,4,-1,0,0
143,35,2,1,1,0,190,1,0,2,5,8,2,-1,0,0
144,37,8,0,1,0,-185,1,0,2,5,8,3,-1,0,0
145,49,8,1,1,0,47,0,0,2,5,8,2,-1,0,0
146,34,9,1,2,0,19,0,0,2,5,8,2,-1,0,0
147,41,2,1,1,0,-62,1,1,2,5,8,2,-1,0,0
148,54,10,1,2,0,258,0,0,2,5,8,4,-1,0,0
149,58,4,1,0,0,76,1,0,2,5,8,2,-1,0,0
150,28,4,2,1,0,0,1,0,2,5,8,2,-1,0,0
151,40,9,1,1,0,672,1,0,2,5,8,2,-1,0,0
152,22,6,2,1,0,423,1,0,2,5,8,3,-1,0,0
153,54,7,1,2,0,0,0,0,2,5,8,2,-1,0,0
154,32,10,1,1,0,19,1,0,2,5,8,4,-1,0,0
155,56,10,0,0,0,13,1,0,2,5,8,2,-1,0,0
156,22,6,2,1,0,82,1,0,2,5,8,2,-1,0,0
157,57,10,1,1,0,792,1,0,2,5,8,2,-1,0,0
158,42,4,1,3,0,408,1,0,2,5,8,2,-1,0,0
159,57,3,1,1,0,211,1,0,2,5,8,2,-1,0,0
160,34,8,2,1,0,62,1,0,2,5,8,2,-1,0,0
161,44,4,1,1,0,129,1,1,2,5,8,2,-1,0,0
162,43,7,1,3,0,0,1,0,2,5,8,2,-1,0,0
163,55,8,0,0,0,96,1,1,2,5,8,2,-1,0,0
164,31,2,2,2,0,193,0,0,2,5,8,2,-1,0,0
165,51,10,2,1,0,0,1,0,2,5,8,2,-1,0,0
166,40,3,2,0,0,0,0,0,2,5,8,2,-1,0,0
167,42,4,1,1,0,490,1,0,2,5,8,2,-1,0,0
168,51,4,1,1,0,0,1,0,2,5,8,2,-1,0,0
169,30,10,0,2,0,2558,0,0,2,5,8,2,-1,0,0
170,55,7,2,2,0,115,0,0,2,5,8,4,-1,0,0
171,57,10,1,3,0,206,1,0,2,5,8,3,-1,0,0
172,48,4,1,1,0,1,0,0,2,5,8,3,-1,0,0
173,28,4,2,1,0,-457,1,0,2,5,8,2,-1,0,0
174,49,4,1,1,0,30,1,0,2,5,8,4,-1,0,0
175,42,2,2,1,0,1022,1,0,2,5,8,2,-1,0,0
176,43,7,0,1,0,693,1,0,2,5,8,3,-1,0,0
177,40,4,0,1,0,-333,1,0,2,5,8,2,-1,0,0
178,50,4,1,0,0,1533,1,0,2,5,8,2,-1,0,0
179,53,8,1,3,0,18,0,0,2,5,8,2,-1,0,0
180,37,4,1,0,0,-100,1,0,2,5,8,2,-1,0,0
181,55,7,1,2,0,685,1,0,2,5,8,3,-1,0,0
182,46,7,2,2,0,187,1,0,2,5,8,2,-1,0,0
183,45,4,1,1,0,66,1,0,2,5,8,2,-1,0,0
184,32,2,1,1,0,560,1,0,2,5,8,3,-1,0,0
185,59,11,0,3,0,27,0,0,2,5,8,3,-1,0,0
186,29,2,2,1,0,12,1,0,2,5,8,2,-1,0,0
187,40,4,1,1,0,211,1,0,2,5,8,4,-1,0,0
188,48,2,1,1,0,126,1,1,2,6,8,2,-1,0,0
189,59,2,1,1,0,230,1,0,2,6,8,3,-1,0,0
190,46,10,1,2,0,841,1,0,2,6,8,1,-1,0,0
191,36,2,0,1,0,308,1,0,2,6,8,1,-1,0,0
192,43,7,0,2,0,1,1,0,2,6,8,1,-1,0,0
193,36,2,0,2,0,86,1,0,2,6,8,1,-1,0,0
194,21,6,2,1,0,157,1,0,2,6,8,1,-1,0,0
195,32,8,1,1,0,22,1,0,2,6,8,1,-1,0,0
196,23,2,2,1,0,122,1,0,2,6,8,1,-1,0,0
197,36,2,2,1,0,393,0,0,2,6,8,2,-1,0,0
198,43,4,1,0,0,98,1,0,2,6,8,1,-1,0,0
199,36,4,1,1,0,757,1,0,2,6,8,1,-1,0,0
200,40,7,1,1,0,8486,0,0,2,6,8,3,-1,0,0
201,43,2,1,3,0,350,0,0,2,6,8,1,-1,0,0
202,30,1,1,1,0,10,1,0,2,6,8,4,-1,0,0
203,56,7,1,2,0,830,1,1,2,6,8,1,-1,0,1
204,60,3,0,1,0,545,1,0,2,6,8,1,-1,0,1
205,25,2,1,1,0,4,1,0,2,6,8,1,-1,0,0
206,30,10,2,1,0,0,1,1,2,6,8,3,-1,0,0
207,40,2,2,1,0,263,1,0,2,6,8,1,-1,0,0
208,36,2,1,1,0,1,0,0,2,6,8,1,-1,0,0
209,32,4,1,1,0,283,0,1,2,6,8,1,-1,0,0
210,47,4,1,0,0,206,1,0,2,6,8,1,-1,0,0
211,27,9,2,2,0,16,1,0,2,6,8,1,-1,0,0
212,50,8,1,1,0,206,1,0,2,6,8,1,-1,0,0
213,52,10,1,3,0,7,0,0,2,6,8,2,-1,0,0
214,50,7,1,2,0,0,0,0,2,6,8,1,-1,0,0
215,46,4,1,1,0,1660,1,0,2,6,8,1,-1,0,0
216,30,8,2,1,0,406,1,0,2,6,8,1,-1,0,0
217,37,2,2,1,0,-25,1,0,2,6,8,1,-1,0,0
218,48,2,1,1,0,182,1,0,2,6,8,2,-1,0,0
219,34,5,1,2,0,1169,1,0,2,6,8,2,-1,0,0
220,32,2,0,1,0,67,1,0,2,6,8,1,-1,0,0
221,43,1,1,1,0,0,1,0,2,6,8,1,-1,0,0
222,31,10,1,1,1,72,1,0,2,6,8,1,-1,0,0
223,49,7,2,2,0,163,1,0,2,6,8,3,-1,0,0
224,36,10,2,2,0,9,1,0,2,6,8,3,-1,0,0
225,43,7,1,1,0,375,1,0,2,6,8,2,-1,0,0
226,36,10,2,2,0,4325,1,0,2,6,8,1,-1,0,0
227,55,2,1,1,0,131,1,0,2,6,8,1,-1,0,0
228,37,4,1,1,0,0,1,0,2,6,8,1,-1,0,0
229,40,4,1,0,0,46,1,0,2,6,8,1,-1,0,0
230,30,4,1,1,0,320,1,0,2,6,8,2,-1,0,0
231,45,4,1,1,0,39,0,0,2,6,8,1,-1,0,0
232,33,7,2,2,0,560,1,0,2,6,8,1,-1,0,0
233,32,10,2,2,0,242,1,0,2,6,8,1,-1,0,0
234,34,4,1,1,0,139,1,0,2,6,8,2,-1,0,0
235,22,9,2,1,0,0,1,0,2,6,8,1,-1,0,0
236,50,9,1,3,0,-84,1,0,2,6,8,1,-1,0,0
237,30,8,2,1,0,310,1,0,2,6,8,1,-1,0,0
238,50,10,1,1,0,797,1,0,2,6,8,1,-1,0,0
239,35,7,1,2,0,231,1,1,2,6,8,2,-1,0,0
240,32,4,1,1,0,270,1,1,2,6,8,1,-1,0,0
241,44,4,1,1,0,274,1,1,2,6,8,1,-1,0,0
242,31,4,2,1,1,-60,0,0,2,6,8,1,-1,0,0
243,43,4,1,1,0,-509,1,0,2,6,8,1,-1,0,0
244,37,1,1,0,0,408,1,0,2,6,8,1,-1,0,0
245,34,8,2,0,0,58,1,0,2,6,8,1,-1,0,0
246,57,3,2,1,0,1640,0,1,2,6,8,4,-1,0,0
247,34,2,2,1,0,20,1,0,2,6,8,1,-1,0,0
248,50,4,1,0,0,71,1,0,2,6,8,1,-1,0,0
249,44,8,0,1,0,424,1,0,2,6,8,1,-1,0,0
250,37,0,2,0,0,109,1,0,2,6,8,3,-1,0,0
251,29,7,2,1,0,301,1,0,2,6,8,1,-1,0,0
252,51,4,1,0,0,1127,1,0,2,6,8,1,-1,0,0
253,41,10,1,1,0,767,1,1,2,6,8,1,-1,0,0
254,43,4,1,1,0,0,0,0,2,6,8,1,-1,0,0
255,54,7,0,0,0,0,0,0,2,6,8,1,-1,0,0
256,59,7,0,2,0,-76,1,1,2,6,8,1,-1,0,0
257,47,10,1,3,0,178,1,0,2,6,8,1,-1,0,0
258,40,4,1,0,0,-66,1,0,2,6,8,1,-1,0,0
259,30,10,1,1,0,0,1,0,2,6,8,2,-1,0,0
260,37,2,2,1,0,0,1,0,2,6,8,2,-1,0,0
261,44,4,1,1,0,-99,1,0,2,6,8,2,-1,0,0
262,35,10,2,1,0,17,1,0,2,6,8,1,-1,0,0
263,27,4,1,1,0,9,1,0,2,6,8,1,-1,0,0
264,41,4,1,1,0,946,1,0,2,6,8,1,-1,0,0
265,45,4,1,0,0,1297,1,0,2,6,8,2,-1,0,0
266,57,3,0,1,0,-331,1,0,2,6,8,1,-1,0,0
267,48,4,2,1,0,44,1,0,2,6,8,1,-1,0,0
268,60,3,1,1,1,15,0,0,2,6,8,1,-1,0,0
269,58,3,1,1,0,5435,1,0,2,6,8,1,-1,0,0
270,32,2,1,1,0,507,1,0,2,6,8,1,-1,0,0
271,55,1,0,1,0,387,1,0,2,6,8,1,-1,0,1
272,41,4,1,0,0,0,1,1,2,6,8,1,-1,0,0
273,50,7,0,1,0,1716,1,0,2,6,8,1,-1,0,0
274,44,2,1,3,0,40,0,1,2,6,8,2,-1,0,0
275,44,4,1,0,0,148,1,0,2,6,8,1,-1,0,0
276,29,10,1,1,0,17,1,1,2,6,8,1,-1,0,0
277,46,7,2,3,0,1527,1,0,2,6,8,1,-1,0,0
278,27,7,2,2,0,0,1,0,2,6,8,1,-1,0,0
279,53,3,1,0,0,136,1,0,2,6,8,2,-1,0,0
280,36,7,1,1,0,517,1,0,2,6,8,2,-1,0,0
281,46,7,1,2,0,459,1,0,2,6,8,1,-1,0,0
282,48,7,0,3,0,549,1,0,2,6,8,1,-1,0,0
283,28,2,0,1,0,83,1,1,2,6,8,1,-1,0,0
284,44,4,1,0,0,213,0,0,2,6,8,1,-1,0,0
285,29,0,1,0,0,203,1,0,2,6,8,3,-1,0,0
286,45,4,1,0,0,-66,1,0,2,6,8,2,-1,0,0
287,32,4,1,0,0,-144,1,0,2,6,8,2,-1,0,0
288,49,8,0,1,0,505,1,0,2,6,8,1,-1,0,0
289,40,1,2,1,0,11,1,0,2,6,8,1,-1,0,0
290,45,4,1,1,0,82,1,0,2,6,8,1,-1,0,0
291,34,9,1,2,0,107,1,0,2,6,8,1,-1,0,0
292,28,2,1,1,0,46,1,0,2,6,8,2,-1,0,0
293,28,6,2,2,0,34,1,0,2,6,8,1,-1,0,0
294,47,9,1,3,0,935,1,0,2,6,8,1,-1,0,0
295,34,2,1,1,0,-106,1,0,2,6,8,2,-1,0,0
296,56,2,0,1,0,778,1,0,2,6,8,2,-1,0,0
297,42,10,1,1,0,315,1,0,2,6,8,2,-1,0,0
298,33,5,1,1,1,204,1,0,2,6,8,2,-1,0,0
299,59,8,0,1,0,0,1,1,2,6,8,1,-1,0,0
300,57,4,1,0,0,5431,1,1,2,6,8,1,-1,0,0
301,36,7,1,3,0,1759,1,0,2,6,8,1,-1,0,0
302,46,1,1,1,0,-125,1,0,2,6,8,1,-1,0,0
303,32,4,1,1,0,0,0,0,2,6,8,1,-1,0,0
304,26,8,2,1,0,5090,1,0,2,6,8,3,-1,0,1
305,54,8,1,1,0,193,0,0,2,6,8,1,-1,0,0
306,61,3,1,1,0,195,1,1,2,6,8,1,-1,0,0
307,53,5,1,1,0,288,0,0,2,6,8,1,-1,0,0
308,46,8,1,1,0,216,1,0,2,6,8,2,-1,0,0
309,37,4,0,0,0,190,1,1,2,6,8,2,-1,0,0
310,55,8,0,0,0,2298,1,0,2,6,8,2,-1,0,0
311,33,4,1,0,0,0,1,0,2,6,8,2,-1,0,0
312,35,4,1,0,0,-325,1,1,2,6,8,2,-1,0,0
313,34,10,2,1,0,-15,1,0,2,6,8,3,-1,0,0
314,41,2,0,0,0,4070,1,0,2,6,8,2,-1,0,0
315,48,3,1,1,0,74,0,1,2,6,8,1,-1,0,0
316,26,8,0,1,0,89,0,0,2,6,8,2,-1,0,0
317,54,8,1,1,1,0,1,0,2,6,8,3,-1,0,0
318,28,4,1,1,0,450,0,0,2,6,8,2,-1,0,0
319,29,9,1,1,0,0,1,0,2,6,8,5,-1,0,0
320,35,4,1,1,0,395,1,0,2,6,8,2,-1,0,0
321,51,4,1,1,0,50,1,1,2,6,8,1,-1,0,0
322,37,4,1,1,0,285,1,1,2,6,8,1,-1,0,0
323,51,4,1,0,0,653,1,1,2,6,8,1,-1,0,0
324,43,9,1,1,0,918,1,0,2,6,8,1,-1,0,0
325,30,8,1,1,0,243,1,1,2,6,8,1,-1,0,0
326,27,10,2,2,0,405,1,0,2,6,8,1,-1,0,0
327,53,4,1,1,0,3397,1,0,2,6,8,1,-1,0,0
328,47,10,1,3,0,2106,1,0,2,6,8,1,-1,0,0
329,37,7,1,2,0,2877,1,0,2,6,8,1,-1,0,0
330,29,4,2,2,0,60,1,1,2,6,8,1,-1,0,0
331,37,4,1,0,0,2226,1,0,2,6,8,1,-1,0,0
332,40,10,2,3,0,-5,1,0,2,6,8,2,-1,0,0
333,31,10,0,1,0,7,1,1,2,6,8,1,-1,0,0
334,29,7,2,2,0,1852,1,0,2,6,8,3,-1,0,0
335,33,1,1,1,0,533,1,0,2,6,8,1,-1,0,0
336,54,10,0,1,0,21,1,0,2,6,8,2,-1,0,0
337,30,10,1,1,0,90,1,1,2,6,8,2,-1,0,0
338,56,2,0,3,0,4246,1,0,2,6,8,2,-1,0,0
339,30,2,2,2,0,395,1,0,2,6,8,3,-1,0,0
340,42,4,1,0,0,15,1,0,2,6,8,1,-1,0,0
341,52,4,0,0,1,-183,1,0,2,6,8,1,-1,0,0
342,28,1,0,1,0,1144,1,0,2,6,8,1,-1,0,0
343,44,8,0,1,0,1,1,0,2,6,8,4,-1,0,0
344,33,2,1,1,0,69,1,1,2,6,8,2,-1,0,0
345,55,7,2,1,0,220,1,0,2,6,8,2,-1,0,0
346,31,4,1,0,0,332,1,0,2,6,8,2,-1,0,0
347,35,4,2,1,0,240,1,0,2,6,8,1,-1,0,0
348,42,10,2,1,0,0,1,0,2,6,8,1,-1,0,0
349,36,5,1,2,0,898,1,0,2,6,8,2,-1,0,0
350,29,6,2,1,0,252,1,0,2,6,8,3,-1,0,0
351,41,7,1,2,0,65,1,0,2,6,8,2,-1,0,0
352,44,9,0,2,0,4,1,0,2,6,8,3,-1,0,0
353,26,10,2,1,0,312,1,0,2,6,8,1,-1,0,0
354,31,4,1,1,0,-349,1,0,2,6,8,1,-1,0,0
355,27,2,1,1,0,-150,1,0,2,6,8,1,-1,0,0
356,36,7,1,3,0,1349,1,0,2,6,8,1,-1,0,0
357,30,2,1,2,0,281,1,0,2,6,8,1,-1,0,0
358,45,8,1,1,0,1259,1,0,2,6,8,1,-1,0,0
359,32,4,1,1,0,848,1,0,2,6,8,2,-1,0,0
360,41,5,1,3,0,89,1,0,2,6,8,2,-1,0,0
361,40,10,2,1,0,200,1,0,2,6,8,2,-1,0,0
362,60,9,1,0,0,46,1,0,2,6,8,4,-1,0,0
363,46,4,1,0,0,530,1,0,2,6,8,3,-1,0,0
364,49,9,1,1,0,1,1,0,2,6,8,3,-1,0,0
365,36,7,1,2,0,389,1,0,2,6,8,1,-1,0,0
366,33,10,1,1,0,-131,1,0,2,6,8,2,-1,0,0
367,41,2,1,1,0,0,1,0,2,6,8,3,-1,0,0
368,42,7,1,2,0,0,1,0,2,6,8,3,-1,0,0
369,54,8,1,1,0,510,1,0,2,6,8,2,-1,0,0
370,40,7,2,2,0,242,1,0,2,6,8,2,-1,0,0
371,49,7,1,2,0,92,1,0,2,6,8,2,-1,0,0
372,27,6,2,1,0,948,1,0,2,6,8,2,-1,0,0
373,34,4,1,0,0,23,1,0,2,6,8,2,-1,0,0
374,35,10,1,1,0,710,1,0,2,6,8,3,-1,0,0
375,37,8,1,1,0,1205,1,0,2,6,8,2,-1,0,0
376,34,10,1,1,0,368,1,1,2,6,8,2,-1,0,1
377,40,2,1,1,0,6,1,0,2,6,8,3,-1,0,0
378,49,4,1,1,0,26,1,0,2,6,8,2,-1,0,0
379,28,10,2,3,0,-48,1,0,2,6,8,2,-1,0,0
380,57,7,1,2,0,2142,1,0,2,6,8,3,-1,0,0
381,31,2,1,1,0,21,0,0,2,6,8,3,-1,0,0
382,43,2,2,1,0,-497,1,0,2,6,8,2,-1,0,0
383,47,10,1,1,0,503,1,0,2,6,8,2,-1,0,0
384,40,4,0,1,0,0,1,0,2,6,8,2,-1,0,0
385,34,5,1,2,0,125,1,0,2,6,8,3,-1,0,0
386,44,4,0,1,0,579,1,0,2,6,8,2,-1,0,0
387,36,2,1,1,0,3047,1,0,2,6,8,2,-1,0,0
388,58,7,1,2,0,68,1,0,2,6,8,5,-1,0,0
389,60,3,1,0,0,364,1,0,2,6,8,2,-1,0,0
390,42,8,0,1,0,55,1,0,2,6,8,5,-1,0,0
391,44,7,1,2,0,105,1,0,2,6,8,2,-1,0,0
392,51,4,0,0,0,325,1,0,2,6,8,2,-1,0,0
393,47,5,1,3,0,209,1,0,2,6,8,2,-1,0,0
394,32,7,1,2,0,105,1,0,2,6,8,3,-1,0,0
395,40,4,1,0,0,-7,1,0,2,6,8,2,-1,0,0
396,55,10,1,1,0,0,0,0,2,6,8,3,-1,0,0
397,55,3,1,1,0,143,1,0,2,6,8,3,-1,0,0
398,33,7,2,2,0,550,1,0,2,6,8,2,-1,0,0
399,57,4,1,0,0,162,1,0,2,6,8,2,-1,0,0
400,53,7,1,2,0,115,1,0,2,6,8,3,-1,0,0
401,57,4,1,3,0,807,1,0,2,6,8,2,-1,0,0
402,45,4,1,3,0,248,1,0,2,6,8,5,-1,0,0
403,43,4,1,0,0,1211,1,0,2,6,8,3,-1,0,0
404,29,5,1,2,0,281,1,0,2,6,8,2,-1,0,0
405,35,4,2,1,0,88,1,0,2,6,8,2,-1,0,0
406,28,2,2,1,0,115,1,0,2,6,8,3,-1,0,0
407,54,4,1,1,0,254,1,0,2,6,8,2,-1,0,0
408,34,7,1,2,0,144,1,0,2,6,8,2,-1,0,0
409,55,1,1,2,0,383,0,0,2,6,8,3,-1,0,0
410,35,2,2,1,0,569,1,1,2,6,8,2,-1,0,0
411,48,2,1,1,0,3754,1,0,2,6,8,3,-1,0,0
412,55,0,0,2,0,6920,1,0,2,6,8,3,-1,0,0
413,31,4,0,1,0,60,0,0,2,6,8,3,-1,0,0
414,57,10,1,1,0,402,1,0,2,6,8,3,-1,0,0
415,28,9,2,2,0,800,0,0,2,6,8,2,-1,0,0
416,51,4,0,1,0,421,1,0,2,6,8,2,-1,0,0
417,42,8,1,1,0,0,1,0,2,7,8,3,-1,0,0
418,42,10,2,1,0,0,1,0,2,7,8,4,-1,0,0
